name,Distance,From_OID,To_OID,Airline_OID
China Southern Airlines (CZ),713,3364,3386,1767
Shanghai Airlines (FM),713,3364,3386,4609
Hainan Airlines (HU),713,3364,3386,2660
China Eastern Airlines (MU),713,3364,3386,1758
Shenzhen Airlines (ZH),713,3364,3386,4611
China Eastern Airlines (MU),457,3364,7898,1758
Air China (CA),1237,3364,3077,751
Cathay Pacific (CX),1237,3364,3077,1680
China Southern Airlines (CZ),1237,3364,3077,1767
Hankook Air (HX),1237,3364,3077,16706
Dragonair (KA),1237,3364,3077,2056
Hong Kong Express Airways (UO),1237,3364,3077,2774
Air China (CA),2478,3364,3179,751
Hainan Airlines (HU),2478,3364,3179,2660
Air China (CA),649,3364,3366,751
Air Foyle (GS),649,3364,3366,690
Hainan Airlines (HU),649,3364,3366,2660
Air China (CA),496,3364,6349,751
Air China (CA),1299,3364,2359,751
Japan Airlines (JL),1299,3364,2359,2987
China Eastern Airlines (MU),1299,3364,2359,1758
All Nippon Airways (NH),1299,3364,2359,324
Air China (CA),620,3364,3400,751
Canadian National Airways (CN),620,3364,3400,9829
China Southern Airlines (CZ),620,3364,3400,1767
Shanghai Airlines (FM),620,3364,3400,4609
China Eastern Airlines (MU),620,3364,3400,1758
Shenzhen Airlines (ZH),620,3364,3400,4611
Air China (CA),841,3364,6384,751
Shenzhen Airlines (ZH),841,3364,6384,4611
Air China (CA),6901,3364,3714,751
Continental Airlines (CO),6901,3364,3714,1881
United Airlines (UA),6901,3364,3714,5209
US Airways (US),6901,3364,3714,5265
Air China (CA),560,3364,3930,751
China Southern Airlines (CZ),560,3364,3930,1767
Korean Air (KE),560,3364,3930,3163
Asiana Airlines (OZ),560,3364,3930,28
Iran Air (IR),3526,3364,4330,2922
Hainan Airlines (HU),1020,3364,2937,2660
S7 Airlines (S7),1020,3364,2937,4329
Air China (CA),575,3364,4085,751
China Southern Airlines (CZ),575,3364,4085,1767
Hainan Airlines (HU),575,3364,4085,2660
China Eastern Airlines (MU),575,3364,4085,1758
Shandong Airlines (SC),575,3364,4085,4599
Shenzhen Airlines (ZH),575,3364,4085,4611
China Southern Airlines (CZ),2419,3364,2223,1767
Pakistan International Airlines (PK),2419,3364,2223,3871
Air China (CA),4391,3364,1701,751
Turkish Airlines (TK),4391,3364,1701,4951
Air China (CA),742,3364,6380,751
Air China (CA),6817,3364,3797,751
United Airlines (UA),6817,3364,3797,5209
US Airways (US),6817,3364,3797,5265
Air China (CA),916,3364,6428,751
Hainan Airlines (HU),715,3364,6381,2660
Air China (CA),1061,3364,6386,751
China Southern Airlines (CZ),1061,3364,6386,1767
Xiamen Airlines (MF),1061,3364,6386,5484
Shenzhen Airlines (ZH),1061,3364,6386,4611
Air China (CA),836,3364,6411,751
Hainan Airlines (HU),836,3364,6411,2660
Hankook Air (HX),836,3364,6411,16706
Hong Kong Express Airways (UO),836,3364,6411,2774
Shanghai Airlines (FM),322,3364,6944,4609
China Eastern Airlines (MU),322,3364,6944,1758
Hainan Airlines (HU),3993,3364,2939,2660
Aerosvit Airlines (VV),3993,3364,2939,114
China Airlines (CI),1228,3364,2264,1756
Air China (CA),775,3364,3384,751
Canadian National Airways (CN),775,3364,3384,9829
Xiamen Airlines (MF),775,3364,3384,5484
China Eastern Airlines (MU),775,3364,3384,1758
Shenzhen Airlines (ZH),775,3364,3384,4611
S7 Airlines (S7),1084,3364,2927,4329
Vladivostok Air (XF),1084,3364,2927,5353
Air China (CA),1094,3364,3992,751
All Nippon Airways (NH),1094,3364,3992,324
Hainan Airlines (HU),1556,3364,4374,2660
S7 Airlines (S7),1556,3364,4374,4329
Air Philippines (2P),1992,3364,2430,897
Air China (CA),1313,3364,3382,751
China Southern Airlines (CZ),1313,3364,3382,1767
Hainan Airlines (HU),1313,3364,3382,2660
China Eastern Airlines (MU),1313,3364,3382,1758
Shenzhen Airlines (ZH),1313,3364,3382,4611
China Southern Airlines (CZ),989,3364,6379,1767
Air China (CA),2740,3364,3304,751
China Southern Airlines (CZ),2740,3364,3304,1767
Malaysia Airlines (MH),2740,3364,3304,3378
Air Zimbabwe (UM),2740,3364,3304,608
Air China (CA),1090,3364,3394,751
China Southern Airlines (CZ),1090,3364,3394,1767
Hainan Airlines (HU),1090,3364,3394,2660
Air China (CA),1093,3364,3372,751
Canadian National Airways (CN),1093,3364,3372,9829
China Southern Airlines (CZ),1093,3364,3372,1767
TAAG Angola Airlines (DT),7312,3364,951,5133
Air China (CA),6233,3364,3484,751
United Airlines (UA),6233,3364,3484,5209
US Airways (US),6233,3364,3484,5265
Rossiya-Russian Airlines (FV),3761,3364,2948,641
Hainan Airlines (HU),3761,3364,2948,2660
British Airways (BA),5062,3364,507,1355
Air China (CA),5062,3364,507,751
Virgin Atlantic Airways (VS),5062,3364,507,5347
Air China (CA),755,3364,6431,751
Hainan Airlines (HU),755,3364,6431,2660
Hankook Air (HX),755,3364,6431,16706
China Eastern Airlines (MU),755,3364,6431,1758
Hong Kong Express Airways (UO),755,3364,6431,2774
Shenzhen Airlines (ZH),755,3364,6431,4611
Japan Air System (JD),1306,3364,4033,6557
Cargo Plus Aviation (8L),1505,3364,6376,2942
Air China (CA),1628,3364,4097,751
China Eastern Airlines (MU),457,3364,4148,1758
Air China (CA),408,3364,6383,751
China Eastern Airlines (MU),408,3364,6383,1758
China Eastern Airlines (MU),361,3364,6385,1758
Air China (CA),1172,3364,6356,751
China Eastern Airlines (MU),1001,3364,6399,1758
Air China (CA),5715,3364,1229,751
Hainan Airlines (HU),729,3364,4334,2660
Hankook Air (HX),729,3364,4334,16706
Hong Kong Express Airways (UO),729,3364,4334,2774
Air China (CA),5659,3364,3339,751
Air China (CA),1250,3364,3121,751
Air Macau (NX),1250,3364,3121,316
Air China (CA),891,3364,6400,751
Hainan Airlines (HU),3645,3364,3156,2660
Cebu Pacific (5J),1786,3364,2397,1683
Air China (CA),1786,3364,2397,751
Philippine Airlines (PR),1786,3364,2397,3952
Air China (CA),4794,3364,346,751
Lufthansa (LH),4794,3364,346,3320
Air China (CA),640,3364,4189,751
Asiana Airlines (OZ),640,3364,4189,28
Air China (CA),5025,3364,1524,751
China Southern Airlines (CZ),873,3364,6401,1767
Air China (CA),614,3364,6413,751
Hainan Airlines (HU),614,3364,6413,2660
Hankook Air (HX),614,3364,6413,16706
Hong Kong Express Airways (UO),614,3364,6413,2774
